id,code,value,short_code,campaign_id,created_at
00066bdc-512f-4c27-bf81-d4223c9beeee,FCBV81BJUTC,3.000000000000000000,FCB,0fda8f4a-0890-4101-bcb0-c5df053d02b6,2020-06-18 15:17:13
001b1086-5d1f-4196-a6cb-27f13469e321,FCBV2U1FRIS,3.000000000000000000,FCB,0fda8f4a-0890-4101-bcb0-c5df053d02b6,2020-06-18 15:19:13
002ebdb0-23bd-499c-97f5-843a12bcfae6,FCBVUBQ03I6,3.000000000000000000,FCB,0fda8f4a-0890-4101-bcb0-c5df053d02b6,2020-06-18 15:21:13
003fc0a0-2b14-49f9-aee7-c19e0cea40e4,FCBV3ZYP69A,3.000000000000000000,FCB,0fda8f4a-0890-4101-bcb0-c5df053d02b6,2020-06-18 15:19:13
0062c4c0-5190-4307-af74-c5f7661fe409,FCBVFJA6AOB,3.000000000000000000,FCB,0fda8f4a-0890-4101-bcb0-c5df053d02b6,2020-06-18 15:17:13
008646e0-41e8-4ba8-91f2-ae0f6e23e348,FCBV52VMAWL,3.000000000000000000,FCB,0fda8f4a-0890-4101-bcb0-c5df053d02b6,2020-06-18 15:21:13
00884259-d67a-4877-9558-4ec52c9e8d77,FCBVCIE29O9,3.000000000000000000,FCB,0fda8f4a-0890-4101-bcb0-c5df053d02b6,2020-06-18 15:20:14
009169a3-3c89-49d8-b799-78a6fa06e249,FCBVA659PN8,3.000000000000000000,FCB,0fda8f4a-0890-4101-bcb0-c5df053d02b6,2020-06-18 15:19:13
009b7365-ad72-4b4b-8310-a3b23b464657,FCBVSEVUJTV,3.000000000000000000,FCB,0fda8f4a-0890-4101-bcb0-c5df053d02b6,2020-06-18 15:21:13
00ad74f4-a99a-4c6e-b74d-f6dd1aff5a96,FCBVMD9RNPD,3.000000000000000000,FCB,0fda8f4a-0890-4101-bcb0-c5df053d02b6,2020-06-18 15:20:14
